TimeCreated,EventID,Computer,SubjectUserName,TargetUserName,LogonType,IpAddress,WorkstationName,AuthenticationPackageName,Status,FailureReason,NewProcessName,ParentProcessName,CommandLine,ServiceName,ServiceFileName
2026-05-15T08:58:14,4624,WS-FINANCE-04,-,jdoe,2,-,WS-FINANCE-04,Negotiate,0x0,,,,,,
2026-05-15T08:59:02,4624,WS-ENG-22,-,mwilson,2,-,WS-ENG-22,Negotiate,0x0,,,,,,
2026-05-15T09:01:33,4624,WS-LEGAL-12,-,smith,2,-,WS-LEGAL-12,Negotiate,0x0,,,,,,
2026-05-15T09:04:18,4624,WS-FINANCE-09,-,dgarcia,2,-,WS-FINANCE-09,Negotiate,0x0,,,,,,
2026-05-15T09:08:45,4624,WS-HR-03,-,lchen,2,-,WS-HR-03,Negotiate,0x0,,,,,,
2026-05-15T10:30:01,4625,DC01,-,jsmith,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:08,4625,DC01,-,mwilson,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:15,4625,DC01,-,kbrown,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:22,4625,DC01,-,jdoe,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:29,4625,DC01,-,dgarcia,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:36,4625,DC01,-,smith,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:43,4625,DC01,-,lchen,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:50,4625,DC01,-,rharris,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:30:57,4625,DC01,-,ngreen,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:04,4625,DC01,-,pmiller,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:11,4625,DC01,-,awalker,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:18,4625,DC01,-,bphillips,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:25,4625,DC01,-,hclark,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:32,4625,DC01,-,ttaylor,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:39,4625,DC01,-,mjones,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:46,4625,DC01,-,sclark,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:31:53,4625,DC01,-,rwhite,3,198.51.100.42,KALI-ATTACK,NTLM,0xC000006A,Unknown user name or bad password,,,,,
2026-05-15T10:33:22,4740,DC01,SYSTEM,kbrown,,,,,,,,,,,
2026-05-15T10:35:12,4624,DC01,-,jsmith,3,198.51.100.42,KALI-ATTACK,NTLM,0x0,,,,,,
2026-05-15T10:35:18,4768,DC01,-,jsmith,,,,Kerberos,0x0,,,,,,
2026-05-15T10:38:24,4624,WS-FINANCE-04,-,jsmith,10,198.51.100.42,KALI-ATTACK,Negotiate,0x0,,,,,,
2026-05-15T10:38:24,21,WS-FINANCE-04,-,jsmith,,198.51.100.42,,,,,,,,,
2026-05-15T10:39:01,4688,WS-FINANCE-04,jsmith,,,,,,,,C:\Windows\System32\cmd.exe,C:\Windows\explorer.exe,"cmd.exe /c whoami /all",,
2026-05-15T10:39:18,4688,WS-FINANCE-04,jsmith,,,,,,,,C:\Windows\System32\nltest.exe,C:\Windows\System32\cmd.exe,"nltest /domain_trusts",,
2026-05-15T10:39:42,4688,WS-FINANCE-04,jsmith,,,,,,,,C:\Windows\System32\net.exe,C:\Windows\System32\cmd.exe,"net group ""Domain Admins"" /domain",,
2026-05-15T10:40:11,4688,WS-FINANCE-04,jsmith,,,,,,,,C:\Windows\System32\net.exe,C:\Windows\System32\cmd.exe,"net localgroup Administrators",,
2026-05-15T10:42:30,4769,DC01,-,jsmith,,,,Kerberos,0x0,,,,,SQL-PROD-01$,
2026-05-15T10:43:01,4769,DC01,-,jsmith,,,,Kerberos,0x0,,,,,FS-FILES$,
2026-05-15T10:43:45,4769,DC01,-,jsmith,,,,Kerberos,0x0,,,,,DC01$,
2026-05-15T10:45:08,4624,SQL-PROD-01,-,jsmith,3,10.0.20.45,WS-FINANCE-04,Kerberos,0x0,,,,,,
2026-05-15T10:45:08,4648,SQL-PROD-01,jsmith,Administrator,,10.0.20.45,WS-FINANCE-04,,0x0,,,,,,
2026-05-15T10:46:12,4771,DC01,-,mwilson,,198.51.100.42,KALI-ATTACK,Kerberos,0x18,Pre-authentication failed,,,,,
2026-05-15T10:48:02,4624,FS-FILES,-,jsmith,3,10.0.20.45,WS-FINANCE-04,Kerberos,0x0,,,,,,
2026-05-15T10:52:14,4720,DC01,jsmith,supportadmin,,,,,,,,,,,
2026-05-15T10:52:21,4722,DC01,jsmith,supportadmin,,,,,,,,,,,
2026-05-15T10:52:34,4728,DC01,jsmith,supportadmin,,,,,,,,,,,
2026-05-15T10:52:41,4732,DC01,jsmith,supportadmin,,,,,,,,,,,
2026-05-15T10:53:08,4738,DC01,jsmith,supportadmin,,,,,,,,,,,
2026-05-15T10:54:01,7045,WS-FINANCE-04,jsmith,,,,,,,,,,,WindowsUpdateHelper,C:\Users\Public\svc.exe
2026-05-15T10:54:01,4697,WS-FINANCE-04,jsmith,,,,,,,,,,,WindowsUpdateHelper,C:\Users\Public\svc.exe
2026-05-15T10:55:22,4688,WS-FINANCE-04,jsmith,,,,,,,,C:\Windows\System32\rundll32.exe,C:\Windows\System32\cmd.exe,"rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump 716 C:\Users\Public\out.bin full",,
2026-05-15T10:58:33,1102,DC01,jsmith,,,,,,,,,,,,
2026-05-15T11:00:14,4634,WS-FINANCE-04,-,jsmith,10,,,,,,,,,,
2026-05-15T11:00:18,22,WS-FINANCE-04,-,jsmith,,198.51.100.42,,,,,,,,,
2026-05-15T11:00:22,4647,WS-FINANCE-04,-,jsmith,,,,,,,,,,,
2026-05-15T11:01:45,4624,WS-FINANCE-04,-,jsmith,3,198.51.100.42,KALI-ATTACK,NTLM,0x0,,,,,,
2026-05-15T11:01:45,4624,DC01,-,supportadmin,3,198.51.100.42,KALI-ATTACK,NTLM,0x0,,,,,,
2026-05-15T11:05:18,4624,SQL-PROD-01,-,supportadmin,3,198.51.100.42,KALI-ATTACK,Kerberos,0x0,,,,,,
